	WATERBODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area	OBJECTID *	Shape *	EU_CD	MS_CD	VISS_MS_CD	NAMN	CATEGORY	WB	District	COMP_AUTH	Country	Version	URL_VISS	ObjVer	PopNamn	GVatten	UTL_EU_CD	UTL_MS_CD	Shape_Length	TYPOMR_KOD	TYPOMRNAMN	TYPE_AREA_NAME	TYPE_AREA_SUFFIX	WATER_DISTRICT_NAME
174	Yttre Dynekilen	5	2	2006-12-31		1	585930-110800	SE5	SE585930-110800	SE5	SE	1n	1	25486.86621	6108042.897999999	318.0	Polygon	SE23F05C72-B3C9-4C6D-A98B-3EB1440A9A6D	WA35595048	SE585930-110800	Yttre Dynekilen	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585930-110800	2010	Yttre Dynekilen_(58.99,11.14)	N	 	 	25486.86621	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
175	Strömstadsfjorden	5	2	2006-12-31		1	585600-110880	SE5	SE585600-110880	SE5	SE	1n	1	49329.49332	8656094.42	315.0	Polygon	SE83F135E5-6A0F-477B-A70B-20ED9A0E5636	WA21864287	SE585600-110880	Strömstadsfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585600-110880	2010	Strömstadsfjorden_(58.94,11.13)	N	 	 	49329.49332	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
176	Inre Tjärnöarkipelagen	5	2	2006-12-31		1	585200-111140	SE5	SE585200-111140	SE5	SE	1n	1	58965.73266	6704903.283	305.0	Polygon	SEFA771D54-F7DF-4829-9F83-E5EACAB5349F	WA88068444	SE585200-111140	Inre Tjärnöarkipelagen	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE585200-111140	2010	Inre Tjärnöarkipelagen_(58.87,11.16)	N	 	 	58965.73266	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
177	Råssö-Resöfjorden sek namn	5	2	2006-12-31		1	584890-110950	SE5	SE584890-110950	SE5	SE	1n	1	64171.216929999995	14415867.82	295.0	Polygon	SEFBDB0AEB-A7BF-4837-8BC2-9B9695A6F158	WA49137674	SE584890-110950	Råssö-Resöfjorden sek namn	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584890-110950	2010	Råssö-Resöfjorden sek namn_(58.82,11.18)	N	 	 	64171.216929999995	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
178	Stridsfjorden	5	2	2006-12-31		1	584750-111185	SE5	SE584750-111185	SE5	SE	1n	1	20279.3955	4899745.672	291.0	Polygon	SE1DA138CD-6843-406D-920A-30468C373FA0	WA35036560	SE584750-111185	Stridsfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584750-111185	2010	Stridsfjorden_(58.79,11.2)	N	 	 	20279.3955	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
179	Lindöfjorden sek namn	5	2	2006-12-31		1	584725-111050	SE5	SE584725-111050	SE5	SE	1n	1	36347.92135	5811918.585	290.0	Polygon	SE530FFA76-376F-4603-88A6-021338FA6FE0	WA23373919	SE584725-111050	Lindöfjorden sek namn	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584725-111050	2010	Lindöfjorden sek namn_(58.76,11.18)	N	 	 	36347.92135	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
180	Tanumskilen	5	2	2006-12-31		1	584670-111300	SE5	SE584670-111300	SE5	SE	1n	1	11055.37829	1057219.772	288.0	Polygon	SE8290CAF2-DAE1-4984-8F16-B1E6AC754F4C	WA17424510	SE584670-111300	Tanumskilen	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584670-111300	2010	Tanumskilen_(58.77,11.23)	N	 	 	11055.37829	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
181	Grebbestad inre skärgård	5	2	2006-12-31		1	584030-111400	SE5	SE584030-111400	SE5	SE	1n	1	49612.12214	8606519.512	268.0	Polygon	SE69A3C20F-B99C-4F34-9F15-9726D91CFA8E	WA99651697	SE584030-111400	Grebbestad inre skärgård	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584030-111400	2010	Grebbestad inre skärgård_(58.66,11.21)	N	 	 	49612.12214	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
182	Bottnefjorden	5	2	2006-12-31		1	582850-111760	SE5	SE582850-111760	SE5	SE	1n	1	35740.2556	5963885.326	246.0	Polygon	SE11FC64B9-3467-426E-8E4F-FA4F37539B96	WA92686252	SE582850-111760	Bottnefjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582850-111760	2010	Bottnefjorden_(58.48,11.31)	N	 	 	35740.2556	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
183	Färlevfjorden	5	2	2006-12-31		2	582630-113515	SE5	SE582630-113515	SE5	SE	2	2	13920.558530000002	3054600.896	240.0	Polygon	SECCCFA512-037F-47D7-A2C9-BE112C874495	WA66502688	SE582630-113515	Färlevfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582630-113515	2010	Färlevfjorden_(58.45,11.58)	N	 	 	13920.558530000002	2	2 - Västkustens fjordar	Västkustens fjordar	s	Västerhavets vattendistrikt
184	Åbyfjorden	5	2	2006-12-31		1	582230-112255	SE5	SE582230-112255	SE5	SE	1n	1	34703.11255	8617755.603	231.0	Polygon	SEB2ACC251-4F67-49E0-A42B-6FCE27EDC91C	WA32527968	SE582230-112255	Åbyfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582230-112255	2010	Åbyfjorden_(58.4,11.4)	N	 	 	34703.11255	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
185	Saltkällefjorden	5	2	2006-12-31		2	582500-113890	SE5	SE582500-113890	SE5	SE	2	2	16070.641480000002	4680772.535	236.0	Polygon	SE8F408BDE-C7D4-40AC-B870-E535F870EE35	WA16249473	SE582500-113890	Saltkällefjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582500-113890	2010	Saltkällefjorden_(58.42,11.66)	N	 	 	16070.641480000002	2	2 - Västkustens fjordar	Västkustens fjordar	s	Västerhavets vattendistrikt
186	Brofjorden	5	2	2006-12-31		2	582150-112530	SE5	SE582150-112530	SE5	SE	2	2	30693.15031	7231261.278	227.0	Polygon	SEF211D41A-B798-4DF7-A4AF-A339AE3F1F66	WA64759536	SE582150-112530	Brofjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582150-112530	2010	Brofjorden_(58.36,11.43)	N	 	 	30693.15031	2	2 - Västkustens fjordar	Västkustens fjordar	s	Västerhavets vattendistrikt
187	n Långebyområdet	5	2	2006-12-31		1	584400-116000	SE5	SE584400-116000	SE5	SE	1n	1	30938.881230000003	8139259.994	279.0	Polygon	SEC2B03CEE-BBA6-4FC9-8015-9A2FD75D9E08	WA41778966	SE584400-116000	n Långebyområdet	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584400-116000	2010	n Långebyområdet_(58.74,11.16)	N	 	 	30938.881230000003	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
188	s Långebyområdet	5	2	2006-12-31		1	584363-110971	SE5	SE584363-110971	SE5	SE	1n	1	24461.9974	5062800.984	277.0	Polygon	SED078BB81-CE02-42C5-B34E-28887670CC84	WA71592735	SE584363-110971	s Långebyområdet	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584363-110971	2010	s Långebyområdet_(58.7,11.2)	N	 	 	24461.9974	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
189	Slaholmen området	5	2	2006-12-31		1	582040-112157	SE5	SE582040-112157	SE5	SE	1n	1	1896.322355	151259.8481	222.0	Polygon	SE9F40D638-CDE8-4B9D-BFA2-42FD18009E82	WA88177455	SE582040-112157	Slaholmen området	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582040-112157	2010	Slaholmen området_(58.34,11.37)	N	 	 	1896.322355	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
190	Byfjorden	5	2	2006-12-31		2	582000-115270	SE5	SE582000-115270	SE5	SE	2	2	18116.01823	5798438.776000001	220.0	Polygon	SE91E2A9EF-21B2-4139-9F57-DD4132A0C935	WA29111809	SE582000-115270	Byfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582000-115270	2010	Byfjorden_(58.34,11.88)	N	 	 	18116.01823	2	2 - Västkustens fjordar	Västkustens fjordar	s	Västerhavets vattendistrikt
191	Trälebergskile	5	2	2006-12-31		1	581853-112736	SE5	SE581853-112736	SE5	SE	1n	1	4171.787157	631176.5281	215.0	Polygon	SE7294F0FE-37BE-41B3-B5AB-5222F98B2457	WA68995220	SE581853-112736	Trälebergskile	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581853-112736	2010	Trälebergskile_(58.31,11.46)	N	 	 	4171.787157	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
192	Kalvöfjord	5	2	2006-12-31		2	581540-114000	SE5	SE581540-114000	SE5	SE	2	2	36543.87311	9812230.256000001	205.0	Polygon	SEF4CB246A-31C4-40E8-B960-C073226DC59B	WA88861178	SE581540-114000	Kalvöfjord	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581540-114000	2010	Kalvöfjord_(58.28,11.67)	N	 	 	36543.87311	2	2 - Västkustens fjordar	Västkustens fjordar	s	Västerhavets vattendistrikt
193	Getevikssund	5	2	2006-12-31		2	581570-113040	SE5	SE581570-113040	SE5	SE	2	2	11145.596790000001	1295786.217	206.0	Polygon	SEE3128FC1-6A44-41A1-899C-B91184D26BDD	WA39066457	SE581570-113040	Getevikssund	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581570-113040	2010	Getevikssund_(58.26,11.51)	N	 	 	11145.596790000001	2	2 - Västkustens fjordar	Västkustens fjordar	s	Västerhavets vattendistrikt
194	Koljö fjord	5	2	2006-12-31		2	581260-113220	SE5	SE581260-113220	SE5	SE	2	2	51048.96052	12848779.81	197.0	Polygon	SE01F8D2CA-A9D9-4815-B8B8-D9E7645E9B37	WA23971566	SE581260-113220	Koljö fjord	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581260-113220	2010	Koljö fjord_(58.23,11.56)	N	 	 	51048.96052	2	2 - Västkustens fjordar	Västkustens fjordar	s	Västerhavets vattendistrikt
195	Borgilefjorden	5	2	2006-12-31		2	581520-113750	SE5	SE581520-113750	SE5	SE	2	2	14631.22804	3408083.603	203.0	Polygon	SE4C4A16DD-D848-4607-833E-8F9BE6CFA12C	WA55611326	SE581520-113750	Borgilefjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581520-113750	2010	Borgilefjorden_(58.26,11.63)	N	 	 	14631.22804	2	2 - Västkustens fjordar	Västkustens fjordar	s	Västerhavets vattendistrikt
196	Nordströmmarna	5	2	2006-12-31		2	581450-113140	SE5	SE581450-113140	SE5	SE	2	2	12305.77493	1507367.476	202.0	Polygon	SE0CBE8D72-DE4C-4636-9F9B-0517FA951578	WA65414529	SE581450-113140	Nordströmmarna	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581450-113140	2010	Nordströmmarna_(58.24,11.53)	N	 	 	12305.77493	2	2 - Västkustens fjordar	Västkustens fjordar	s	Västerhavets vattendistrikt
197	Ellösefjorden	5	2	2006-12-31		2	581120-112680	SE5	SE581120-112680	SE5	SE	2	2	60158.50457999999	11234510.83	194.0	Polygon	SEF5B41C30-6ADC-43D5-8374-B35652F339C1	WA48861055	SE581120-112680	Ellösefjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581120-112680	2010	Ellösefjorden_(58.18,11.43)	N	 	 	60158.50457999999	2	2 - Västkustens fjordar	Västkustens fjordar	s	Västerhavets vattendistrikt
198	Boxvike kile	5	2	2006-12-31		1	580650-113000	SE5	SE580650-113000	SE5	SE	1n	1	7267.542377	700314.9474	186.0	Polygon	SE945F61AB-7463-41BE-9B47-9203E79CC3AE	WA58894434	SE580650-113000	Boxvike kile	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580650-113000	2010	Boxvike kile_(58.11,11.49)	N	 	 	7267.542377	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
199	Stigfjorden	5	2	2006-12-31		1	580325-113500	SE5	SE580325-113500	SE5	SE	1n	1	97291.90049	31948206.97	175.0	Polygon	SED578077B-0405-4953-9E17-E7C52CDC5B98	WA62889088	SE580325-113500	Stigfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580325-113500	2010	Stigfjorden_(58.08,11.61)	N	 	 	97291.90049	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
200	Skärhamnområdet	5	2	2006-12-31		1	580025-113168	SE5	SE580025-113168	SE5	SE	1n	1	54679.4961	11886958.08	170.0	Polygon	SE3FE3D8D7-E0C1-4E12-9E6D-3D0E91302C49	WA53392579	SE580025-113168	Skärhamnområdet	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580025-113168	2010	Skärhamnområdet_(58,11.51)	N	 	 	54679.4961	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
201	Klädesholmenområdet	5	2	2006-12-31		1	575747-113237	SE5	SE575747-113237	SE5	SE	1n	1	26131.914240000002	3862286.2739999997	163.0	Polygon	SE9ADFEA9A-CFFA-468C-9174-DD5A9CEB0EE2	WA84417938	SE575747-113237	Klädesholmenområdet	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575747-113237	2010	Klädesholmenområdet_(57.95,11.55)	N	 	 	26131.914240000002	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
202	Marstrandsfjorden	5	2	2006-12-31		3	575340-113000	SE5	SE575340-113000	SE5	SE	3	3	77837.71634	52680309.76	153.0	Polygon	SECEA66178-C402-4BD2-8C16-514B6E64FED0	WA25351289	SE575340-113000	Marstrandsfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575340-113000	2010	Marstrandsfjorden_(57.9,11.54)	N	 	 	77837.71634	3	3 - Västkustens yttre kustvatten, Skagerrak	Västkustens yttre kustvatten, Skagerrak	s	Västerhavets vattendistrikt
203	Älgöfjorden	5	2	2006-12-31		1	575500-113750	SE5	SE575500-113750	SE5	SE	1n	1	59113.2264	26949157.09	158.0	Polygon	SEFC73A0DC-95BF-4EBF-AC4E-6095ED6EDD72	WA80466205	SE575500-113750	Älgöfjorden	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575500-113750	2010	Älgöfjorden_(57.91,11.73)	N	 	 	59113.2264	1n	1n - Västkustens inre kustvatten, norra	Västkustens inre kustvatten, norra	n	Västerhavets vattendistrikt
204	Sälö fjord	5	2	2006-12-31		1	574870-113795	SE5	SE574870-113795	SE5	SE	1s	1	156664.1073	65740763.75	143.0	Polygon	SE9A094173-495C-4319-8EDA-807425FF1E51	WA43360889	SE574870-113795	Sälö fjord	CW	Y	SE5	VH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE574870-113795	2010	Sälö fjord_(57.8,11.63)	N	 	 	156664.1073	1s	1s - Västkustens inre kustvatten, södra	Västkustens inre kustvatten, södra	s	Västerhavets vattendistrikt
205	Njutångersfjärden	2	2	2006-12-31		16	613591-171000	SE2	SE613591-171000	SE2	SE	16	16	33766.40943	8354024.7020000005	468.0	Polygon	SE71FA9465-64B9-4483-B413-4C7541732E53	WA53362427	SE613591-171000	Njutångersfjärden	CW	Y	SE2	BH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE613591-171000	2010	Njutångersfjärden_(61.6,17.14)	N	 	 	33766.40943	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Bottenhavets vattendistrikt
206	Siviksfjärden	2	2	2006-12-31		16	613500-171000	SE2	SE613500-171000	SE2	SE	16	16	37692.30437	11626360.68	466.0	Polygon	SEC2385F36-BC96-4506-8648-165B1A1F3AC1	WA95251173	SE613500-171000	Siviksfjärden	CW	Y	SE2	BH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE613500-171000	2010	Siviksfjärden_(61.57,17.17)	N	 	 	37692.30437	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Bottenhavets vattendistrikt
207	Hålsängesfjärden	2	2	2006-12-31		16	613380-171450	SE2	SE613380-171450	SE2	SE	16	16	29304.18697	12623593.33	465.0	Polygon	SEE9107678-B8BE-4174-A9A7-91284829B2F7	WA52680118	SE613380-171450	Hålsängesfjärden	CW	Y	SE2	BH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE613380-171450	2010	Hålsängesfjärden_(61.56,17.2)	N	 	 	29304.18697	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Bottenhavets vattendistrikt
208	Enångersfjärden	2	2	2006-12-31		16	613240-171000	SE2	SE613240-171000	SE2	SE	16	16	35912.03589	13313912.18	464.0	Polygon	SE9E1E3E60-599A-4163-AC9B-AD6D53A7F25D	WA78397063	SE613240-171000	Enångersfjärden	CW	Y	SE2	BH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE613240-171000	2010	Enångersfjärden_(61.54,17.14)	N	 	 	35912.03589	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Bottenhavets vattendistrikt
209	Skärsåfjärden sek namn	2	2	2006-12-31		16	612303-171075	SE2	SE612303-171075	SE2	SE	16	16	71248.84077000001	35484265.97	461.0	Polygon	SE9C02BA91-2CB7-45FC-B3F8-68A99C56EDF2	WA41077851	SE612303-171075	Skärsåfjärden sek namn	CW	Y	SE2	BH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE612303-171075	2010	Skärsåfjärden sek namn_(61.38,17.16)	N	 	 	71248.84077000001	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Bottenhavets vattendistrikt
210	Söderhamnsfjärden	2	2	2006-12-31		16	611676-171000	SE2	SE611676-171000	SE2	SE	16	16	19900.87721	3267211.192	459.0	Polygon	SE97B08B3C-E9ED-43F9-A2B2-F3AEAF83C6A3	WA64950345	SE611676-171000	Söderhamnsfjärden	CW	Y	SE2	BH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE611676-171000	2010	Söderhamnsfjärden_(61.29,17.14)	N	 	 	19900.87721	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Bottenhavets vattendistrikt
211	Axmarfjärden	2	2	2006-12-31		16	610100-171245	SE2	SE610100-171245	SE2	SE	16	16	19453.18645	6114537.498	454.0	Polygon	SEDA6F756B-1B93-4FB3-AF97-3AA5BF782208	WA39924512	SE610100-171245	Axmarfjärden	CW	Y	SE2	BH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE610100-171245	2010	Axmarfjärden_(61.02,17.21)	N	 	 	19453.18645	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Bottenhavets vattendistrikt
212	Öregrundsgrepen	3	2	2006-12-31		16	603000-181500	SE3	SE603000-181500	SE3	SE	16	16	317210.6897	409955151.1	438.0	Polygon	SE5B9C54CA-34AD-45C7-BC19-EF554CBBC794	WA20826862	SE603000-181500	Öregrundsgrepen	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE603000-181500	2010	Öregrundsgrepen_(60.49,18.21)	N	 	 	317210.6897	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Norra Östersjöns vattendistrikt
213	Lövstabukten	3	2	2006-12-31		16	603650-174500	SE3	SE603650-174500	SE3	SE	16	16	102353.3236	118333770.1	440.0	Polygon	SEA029634A-CC53-4099-9260-41F90FC150D6	WA54159478	SE603650-174500	Lövstabukten	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE603650-174500	2010	Lövstabukten_(60.59,17.76)	N	 	 	102353.3236	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Norra Östersjöns vattendistrikt
214	Karlholmsfjärden	3	2	2006-12-31		16	603190-174000	SE3	SE603190-174000	SE3	SE	16	16	67249.71259	15924060.57	439.0	Polygon	SEFD5E745D-3111-41D0-A534-BD709AB425EE	WA35699384	SE603190-174000	Karlholmsfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE603190-174000	2010	Karlholmsfjärden_(60.51,17.69)	N	 	 	67249.71259	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Norra Östersjöns vattendistrikt
215	Kallriga Fjärden	3	2	2006-12-31		16	602120-181610	SE3	SE602120-181610	SE3	SE	16	16	27096.187739999998	7024935.06	436.0	Polygon	SE6481799F-24D8-41AA-9BE8-F0022E74F221	WA53130995	SE602120-181610	Kallriga Fjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE602120-181610	2010	Kallriga Fjärden_(60.35,18.26)	N	 	 	27096.187739999998	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Norra Östersjöns vattendistrikt
216	Ängsfjärden sek namn	3	2	2006-12-31		16	601660-183550	SE3	SE601660-183550	SE3	SE	16	16	135992.3013	28969105.0	435.0	Polygon	SE441690A4-110A-40D1-9179-8033B9319D43	WA27501911	SE601660-183550	Ängsfjärden sek namn	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601660-183550	2010	Ängsfjärden sek namn_(60.27,18.58)	N	 	 	135992.3013	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Norra Östersjöns vattendistrikt
217	Östhammarfjärden sek namn	3	2	2006-12-31		16	601300-182880	SE3	SE601300-182880	SE3	SE	16	16	66758.02169	15644106.16	430.0	Polygon	SE0E618FCF-8EF0-4BE7-86F3-FD5CADD6AEA1	WA86519692	SE601300-182880	Östhammarfjärden sek namn	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601300-182880	2010	Östhammarfjärden sek namn_(60.25,18.41)	N	 	 	66758.02169	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Norra Östersjöns vattendistrikt
218	Raggaröfjärden	3	2	2006-12-31		16	601310-183700	SE3	SE601310-183700	SE3	SE	16	16	37447.20804	11581816.27	432.0	Polygon	SE946EE526-2A57-4765-9E75-6B00A8E5EEC2	WA34467650	SE601310-183700	Raggaröfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601310-183700	2010	Raggaröfjärden_(60.22,18.62)	N	 	 	37447.20804	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Norra Östersjöns vattendistrikt
219	Galtfjärden	3	2	2006-12-31		16	601000-183510	SE3	SE601000-183510	SE3	SE	16	16	88249.16746	32356346.69	423.0	Polygon	SEDA60A8F6-45E6-43C0-8EF2-EF7946AA249F	WA23967996	SE601000-183510	Galtfjärden	CW	Y	SE3	NO	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE601000-183510	2010	Galtfjärden_(60.17,18.58)	N	 	 	88249.16746	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Norra Östersjöns vattendistrikt
220	Ljusnefjärden	2	2	2006-12-31		16	611213-171063	SE2	SE611213-171063	SE2	SE	16	16	25061.39299	7723504.113	457.0	Polygon	SE5D67F35F-0AA7-4662-BFEC-3D412C699F93	WA57694496	SE611213-171063	Ljusnefjärden	CW	Y	SE2	BH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE611213-171063	2010	Ljusnefjärden_(61.21,17.17)	N	 	 	25061.39299	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Bottenhavets vattendistrikt
221	Skutskärsfjärden sek namn	2	2	2006-12-31		16	604250-173000	SE2	SE604250-173000	SE2	SE	16	16	82677.95943999999	140500691.3	446.0	Polygon	SE6D50B891-B509-47F3-8E79-57F9D6A4A720	WA80387062	SE604250-173000	Skutskärsfjärden sek namn	CW	Y	SE2	BH	SE	SVAR2016	 http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE604250-173000	2010	Skutskärsfjärden sek namn_(60.7,17.44)	N	 	 	88658.30152000001	16	16 - Södra Bottenhavet, inre kustvatten	Södra Bottenhavet, inre kustvatten		Bottenhavets vattendistrikt
